gene	mean	var
55349	0.0	1
55343	0.0392070845471	1
84912	0.807080666647	1
23443	0.857413261796	1
55293	0.0375916085521	1
51268	0.0	1
343	0.0	1
3992	0.55702918091	1
3990	0.0	1
55902	0.264984626689	1
55907	0.0	1
10965	0.266252620612	1
4731	0.723665860362	1
81539	1.70405442824	1
81537	0.611790894704	1
154091	0.0	1
55586	0.0	1
292	3.44845122666	1
51604	0.775991968027	1
290	0.0	1
51606	0.389069663595	1
586	0.907042011555	1
4832	0.412146002873	1
587	0.447489123728	1
56052	0.0392369674414	1
4522	1.34737926251	1
270	0.0	1
271	0.269739136978	1
275	0.0	1
80201	0.0	1
108	0.0	1
109	0.0	1
56901	0.0	1
100	0.0	1
107	0.0	1
9435	0.0	1
79813	0.369680295606	1
84129	0.0	1
79814	0.00942243513891	1
9415	0.462734835891	1
10632	2.51506153732	1
53354	0.0	1
10380	0.0	1
8942	0.0	1
7264	0.960019405306	1
84693	0.0798437727794	1
7263	0.297909558823	1
5296	1.00012626502	1
2686	0.0	1
2687	0.0	1
5294	0.0	1
2683	0.0	1
10164	0.0	1
2739	1.71854898429	1
98	0.254044172511	1
10560	0.552031779662	1
10568	0.0	1
95	0.304629890714	1
97	0.16488180059	1
1622	2.24055474908	1
1621	0.0	1
10090	0.0	1
5184	0.186146907387	1
1629	1.25168166643	1
8836	0.00058805801584	1
8833	0.706490337753	1
3340	0.0	1
5051	0.0	1
1757	0.0	1
4259	1.65976030296	1
4258	0.519981426845	1
23057	0.0	1
4257	2.49082190183	1
1178	0.0	1
5538	nan	1
29925	0.0717026414959	1
11164	0.612424243964	1
50700	0.0	1
1579	0.0	1
8760	0.547959319691	1
1573	0.0	1
1572	0.0	1
79717	0.738953451096	1
516	1.38148337895	1
1577	0.0	1
1576	0.0	1
51477	0.0	1
51478	0.45894539445	1
8540	0.478777881601	1
6572	0.0	1
6573	0.176794869083	1
6570	0.0	1
6571	0.0	1
6576	0.239009737394	1
6574	1.22720086292	1
6575	0.0	1
6578	0.0	1
6579	0.0	1
1371	0.255539321457	1
8509	0.499058726479	1
1373	0.0	1
1375	nan	1
1374	1.11739661234	1
1376	0.0852499892903	1
28965	0.0	1
2744	1.30266658958	1
23475	0.0	1
2747	0.0485142729505	1
2746	0.690415924558	1
23478	3.67214592397	1
4598	0.346286868199	1
253430	0.0	1
196743	0.0	1
4842	0.0	1
4843	0.0	1
55753	0.0	1
51292	0.547854052148	1
65263	0.0	1
128869	0.181242603613	1
6783	0.0	1
4729	1.5109945064	1
4728	1.9508427079	1
4724	0.665093695813	1
4726	1.7067216546	1
4720	1.21220680306	1
4723	1.65417903925	1
4722	1.23855259439	1
64849	0.0	1
